Positive Sentiment,Negative Sentiment,Objective Sentiment,Female Orientation,Male Orientation,Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence,Unnamed: 0,Number of Sentences,Number of Dialogs,Number of Sentences with Dialogs,Number of Named People,Number of Named Places,Number of Named Organizations,filenames
0.08509460759122521,0.09801502826799392,0.8168903641407826,4942.0,3846.0,pg21767.epub,141704,3768,0.16314994636707505,14.294764450721276,235,3769,3282.5,2576,120,63,28,pg21767.epub
0.06847628746151609,0.08222362224008646,0.8493000902983966,728.0,2034.0,pg21821.epub,56751,1208,0.15797078465577696,16.52620850320326,236,1209,1211.5,827,216,129,67,pg21821.epub
0.08821356811264602,0.09759465459727422,0.8141917772900784,4516.0,2137.0,pg21858.epub,155596,3826,0.1359803593922723,14.588036752297018,237,3827,3385.0,2636,143,76,50,pg21858.epub
0.08252382106606508,0.08797021615097213,0.8295059627829626,2660.0,4241.0,pg21867.epub,116113,2709,0.1397690181116671,16.75270523733949,238,2710,2795.0,1681,101,65,23,pg21867.epub
0.0740668704638929,0.0930923710787196,0.8328407584573877,575.0,1262.0,pg21870.epub,33862,438,0.10073238438367492,13.464015904572566,239,439,179.5,172,88,104,23,pg21870.epub
0.07859515648065699,0.07258916472664864,0.8488156787926966,1101.0,3728.0,pg21887.epub,95660,1887,0.08667154505540456,16.564502164502162,240,1888,1618.0,1185,129,150,49,pg21887.epub
0.0790985737723255,0.08598308464547871,0.8349183415821969,1958.0,1993.0,pg21932.epub,62397,571,0.10038944180008656,19.347906976744188,241,572,757.0,507,61,53,18,pg21932.epub
0.07609574723177892,0.07876522536865932,0.8451390273995624,1826.0,702.0,pg21944.epub,45801,1252,0.13781358485622586,13.955210237659964,242,1253,1155.0,876,92,37,25,pg21944.epub
0.08226705141234636,0.08068501101058141,0.8370479375770719,1496.0,2678.0,pg22158.epub,85474,2643,0.1384163605306877,10.220495037665911,243,2644,2434.0,1999,214,175,61,pg22158.epub
0.06438332277420694,0.06775221434897999,0.8678644628768126,1113.0,2098.0,pg22202.epub,51882,1000,0.14931960988396747,15.327031019202366,244,1001,1369.0,730,78,23,12,pg22202.epub
0.0739417032745978,0.0706189865594148,0.855439310165989,1039.0,2397.0,pg22205.epub,87620,1305,0.12465190595754395,20.137899333486555,245,1306,1590.5,879,78,65,27,pg22205.epub
0.0730794159220374,0.07829120887206828,0.8486293752058947,188.0,647.0,pg22206.epub,15007,269,0.09262344239354968,15.697698744769877,246,270,3.0,3,45,34,14,pg22206.epub
0.07387881005249733,0.07678544263085328,0.8493357473166495,174.0,717.0,pg22207.epub,22456,552,0.08906305664410402,13.576783555018133,247,553,1.0,1,36,21,11,pg22207.epub
0.06540846140747145,0.07053204901725829,0.8640594895752706,159.0,364.0,pg22208.epub,9124,235,0.09392810170977642,12.960227272727273,248,236,4.0,4,29,11,2,pg22208.epub
0.08921967106612105,0.10229991138660627,0.8084804175472747,4049.0,3743.0,pg22214.epub,147099,4445,0.1927001543178404,13.466904696511948,249,4446,4951.5,3349,159,62,27,pg22214.epub
0.06955476796505927,0.0856232264821877,0.844822005552751,549.0,1841.0,pg22221.epub,81066,2118,0.09006241827646609,13.450472872075661,250,2119,745.0,922,116,85,55,pg22221.epub
0.06868718864424711,0.08138153433114867,0.8499312770246041,97.0,295.0,pg22271.epub,10758,67,0.08654024911693624,28.61170212765957,251,68,1.0,1,26,29,5,pg22271.epub
0.0731447162108154,0.08142376145349595,0.8454315223356892,103.0,1763.0,pg22272.epub,28756,436,0.09448462929475587,17.364734299516908,252,437,4.0,2,37,33,13,pg22272.epub
0.07232983313654713,0.07562292293019837,0.8520472439332538,342.0,387.0,pg22273.epub,13888,321,0.09972638248847926,16.092699884125146,253,322,11.0,6,21,13,5,pg22273.epub
0.07047312265543018,0.07134632566795075,0.8581805516766181,481.0,721.0,pg22274.epub,20496,389,0.09938524590163934,15.261355174981384,254,390,0.0,0,59,27,17,pg22274.epub
0.06373273745141947,0.0574005324342072,0.8788667301143732,156.0,1683.0,pg22275.epub,43925,798,0.09106431417188388,17.44440031771247,255,799,6.0,5,90,74,45,pg22275.epub
0.06806155027139353,0.07040751247348505,0.8615309372551205,2007.0,6699.0,pg22276.epub,150667,2950,0.0970418207039365,16.353739281450125,256,2951,78.0,44,266,181,93,pg22276.epub
0.06420810769827716,0.0857548459607048,0.850037046341018,79.0,409.0,pg22476.epub,11163,144,0.1129624652871092,16.416176470588233,257,145,127.5,102,37,22,9,pg22476.epub
0.0756897739725023,0.06861366466180246,0.8556965613656948,1152.0,733.0,pg22532.epub,39860,979,0.10077772202709484,13.357908847184989,258,980,1004.5,741,113,34,24,pg22532.epub
