Filename,Number of Words,Number of Paragraphs,Relative Punctuation,Average Words per Sentence
pg10067.epub,68757,2282,0.17538577890251175,12.85898634748457
pg1032.epub,17776,267,0.11976822682268227,17.444553483807656
pg10379.epub,151734,3509,0.15289915246418073,16.287462430227567
pg10473.epub,89228,3331,0.1621576186847178,9.886759002770082
pg10812.epub,17883,471,0.13951797796790247,16.760074976569822
pg10826.epub,28495,251,0.12002105632567117,24.313139931740615
pg10943.epub,41143,1251,0.16406193034051966,11.327918502202643
pg11004.epub,72652,2607,0.1617711831745857,8.152154398563734
pg11005.epub,65046,2414,0.16402238415890294,7.581118881118881
pg11259.epub,68482,2949,0.17061417598785084,8.7752434648898
pg11280.epub,80126,1078,0.1549684247310486,23.94680215182307
pg11520.epub,103001,3301,0.14761021737653032,9.489681223512068
pg11581.epub,72543,1805,0.15003515156527852,14.862323294406885
pg11655.epub,113733,1934,0.1253110354954147,15.530929946743138
pg11674.epub,90421,1352,0.11102509372822685,14.631229773462783
pg1190.epub,14588,123,0.14436523169728543,26.05
pg1193.epub,23013,319,0.11228436101334029,17.70230769230769
pg11931.epub,5542,122,0.13839769036448935,14.432291666666666
pg11970.epub,90129,2398,0.16998968145657892,15.039045553145336
pg12102.epub,70829,2413,0.16693727145660675,12.44579160077315
pg1218.epub,162696,2946,0.14921079805281015,15.634826061887372
pg12181.epub,23931,607,0.10442522251472985,14.270125223613595
pg12303.epub,156729,3452,0.1506996152594606,19.025127458120902
pg12304.epub,88586,2179,0.18683539159686632,14.979032803517079
pg12360.epub,114182,3289,0.12488833616506981,10.219457621050747
pg12450.epub,106557,2268,0.13146015747440337,17.78914858096828
pg12453.epub,158305,2685,0.16514323615804932,20.363390789812193
pg12470.epub,99232,2816,0.16942115446630118,14.192219679633867
pg12520.epub,163623,2397,0.14488794362650728,18.05594791436769
pg1253.epub,12132,212,0.11350148367952523,18.72222222222222
pg12672.epub,74207,1766,0.15340870807336235,14.414724164724165
pg1273.epub,14024,309,0.12885054192812323,16.344988344988344
