Positive Sentiment,Negative Sentiment,Objective Sentiment,Female Orientation,Male Orientation,Number of words
0.06958313613067509,0.07114469799800646,0.8592721658713184,355.0,2719.0,93196.0
0.07884373264260822,0.07337750925061182,0.8477787581067799,206.0,893.0,21738.0
0.079450603033407,0.08308717813114957,0.8374622188354442,4673.0,5753.0,194286.0
0.057816896935933705,0.06615890234833785,0.8760242007157283,761.0,3572.0,125694.0
0.08662404672792583,0.09167807463353514,0.8216978786385386,473.0,547.0,22676.0
0.08191332479960649,0.07966022510072963,0.8384264500996643,199.0,975.0,33762.0
0.06318310537664747,0.07490934093009961,0.8619075536932522,568.0,1361.0,54412.0
0.06814909657019973,0.047499994549044494,0.8843509088807571,1942.0,3037.0,102078.0
0.06842668601399214,0.050773688383875366,0.8807996256021334,1754.0,3431.0,92338.0
0.07161891250474675,0.06957613720108359,0.8588049502941705,2409.0,1321.0,97913.0
0.07062600027331949,0.08755822184792199,0.8418157778787585,4501.0,1724.0,99227.0
0.07695926716593242,0.08380341463825854,0.8392373181958102,4194.0,4884.0,139853.0
0.08169001348187695,0.08279272015635968,0.835517266361762,2520.0,2288.0,93446.0
0.07542349273318447,0.08067780521191498,0.8438987020549017,2662.0,3848.0,139425.0
0.08703604153551919,0.08060707547241938,0.832356882992062,1902.0,3251.0,109651.0
0.07577509448247124,0.08648535875123309,0.8377395467662956,179.0,1024.0,17462.0
0.08426511550206117,0.08163018344531857,0.834104701052621,669.0,619.0,28028.0
0.06674530946222651,0.0561630970107664,0.8770915935270074,4.0,179.0,6999.0
0.09161306149372987,0.10135789345385537,0.8070290450524138,3639.0,3656.0,118710.0
0.07040444072814753,0.0648371126143469,0.8647584466575053,864.0,2786.0,97270.0
0.05543832986327745,0.07015258460796116,0.874409085528762,1023.0,7305.0,204438.0
0.05730856534248504,0.07363923628936854,0.869052198368147,893.0,1030.0,30470.0
0.07519446322753551,0.08368405375750004,0.841121483014964,3740.0,6559.0,198991.0
0.07529956137062559,0.10667383007150594,0.8180266085578655,630.0,2160.0,115282.0
0.07803052857781523,0.09168281781013576,0.8302866536120489,6771.0,5428.0,149881.0
0.0886784333044447,0.09084276830010286,0.82047879839545,4595.0,4288.0,132384.0
0.08529460861813636,0.08906453646073409,0.8256408549211306,2258.0,3526.0,197669.0
0.0765384582501079,0.08699156821382578,0.8364699735360674,2119.0,3906.0,131509.0
0.08989731243554891,0.09428129276282306,0.8158213948016284,5149.0,4066.0,200015.0
0.04843559933892109,0.07154368766504622,0.880020712996032,677.0,320.0,14687.0
0.06810085453508907,0.08370829898639419,0.8481908464785171,2654.0,2455.0,96782.0
0.08534924318717137,0.09079718801255293,0.8238535688002757,231.0,581.0,17437.0
0.06694270364734518,0.07496474019898436,0.8580925561536721,7417.0,5270.0,214625.0
0.08667474398280277,0.09054784599748449,0.8227774100197117,593.0,1070.0,30376.0
0.07281289519308483,0.07002068160585828,0.857166423201056,1386.0,2180.0,90084.0
0.0659386791634595,0.08299750607877876,0.8510638147577613,1802.0,1440.0,82827.0
0.07767458633640173,0.07324568603874482,0.8490797276248531,671.0,1621.0,43511.0
0.06734813438222591,0.07322258736107375,0.8594292782566996,1445.0,2398.0,70280.0
0.09082794247435769,0.09409817182098876,0.8150738857046537,921.0,292.0,35160.0
0.06778600300390294,0.07796448073154562,0.854249516264552,1165.0,3920.0,90829.0
0.07136389098451473,0.07554154116914952,0.8530945678463342,2707.0,4350.0,122985.0
0.07479534421991779,0.08582261506402925,0.8393820407160549,2413.0,3331.0,140293.0
0.0756263123058167,0.07774929781639678,0.8466243898777869,1704.0,2416.0,71172.0
0.07667819264819764,0.08795063040662746,0.8353711769451752,1271.0,3372.0,105417.0
0.08237468447910791,0.07217145977907909,0.8454538557418125,1520.0,1048.0,54873.0
0.06666456184618065,0.07850920380052993,0.8548262343532911,3836.0,2068.0,210626.0
0.06527064849723571,0.08153307317942861,0.8531962783233347,89.0,1079.0,84965.0
0.08199003910701942,0.08975867564627397,0.8282512852467063,1533.0,2180.0,80567.0
0.08293879406646844,0.08920932852381686,0.8278518774097142,1513.0,2107.0,64900.0
0.07712890372283274,0.07400267800567537,0.8488684182714916,778.0,3300.0,100127.0
0.07857216544544161,0.07357306516903592,0.8478547693855225,75.0,350.0,12423.0
0.08638845810493534,0.08679433252209114,0.8268172093729736,3265.0,5063.0,135743.0
0.07896150111725678,0.0790811962543306,0.8419573026284134,5664.0,4382.0,224950.0
0.0653226434794737,0.08204484023736623,0.8526325162831598,1629.0,2290.0,80052.0
0.06402944322228181,0.06610107294442585,0.8698694838332919,991.0,2252.0,60193.0
0.07117475582780079,0.0739118993253977,0.8549133448468021,2147.0,5136.0,149376.0
0.06786310830524264,0.06096364054403727,0.8711732511507199,10.0,266.0,6477.0
0.074933304714606,0.08513340665498796,0.839933288630406,4012.0,6686.0,223920.0
0.0752514730887124,0.07587939661040873,0.8488691303008782,1875.0,5748.0,177925.0
0.07223005235337897,0.0840410389518718,0.8437289086947469,3065.0,2648.0,127942.0
0.07851224516633788,0.07440353987140966,0.8470842149622522,1876.0,2753.0,90690.0
0.07543643092076462,0.07447674850567818,0.8500868205735612,3192.0,5309.0,202917.0
0.06667293042754775,0.08053161810789473,0.8527954514645578,3007.0,1635.0,89012.0
0.07657869659662594,0.09985964261711719,0.8235616607862568,3141.0,1889.0,151162.0
0.08489633623581191,0.08673048679348104,0.8283731769707078,3792.0,2309.0,102940.0
0.08445632901858455,0.0873768604189952,0.8281668105624201,1029.0,1074.0,41579.0
0.06820106720924947,0.07384656578932616,0.8579523670014241,1068.0,5329.0,116811.0
0.07070909712615499,0.07959928794581214,0.8496916149280347,2456.0,5289.0,151107.0
0.07925375593874699,0.08183621903130234,0.8389100250299517,2517.0,2742.0,129983.0
0.08465330169024686,0.09821547352527622,0.8171312247844764,2772.0,1374.0,86461.0
0.07689786085025418,0.10286493321079371,0.8202372059389528,1280.0,1038.0,45796.0
0.06260356358676578,0.07041479717573682,0.8669816392374977,685.0,5397.0,121644.0
0.08269220808804266,0.08380272524955468,0.8335050666624038,3357.0,5166.0,188085.0
0.07730785874853281,0.08081569260678167,0.8418764486446844,2434.0,3170.0,107721.0
0.07173286666583334,0.08803887486981939,0.8402282584643466,1957.0,1916.0,78130.0
0.08006943099394541,0.08795715852586432,0.8319734104801911,4235.0,3458.0,125838.0
0.06696157412183942,0.07859198899502226,0.8544464368831398,1101.0,2437.0,157059.0
0.07325783170899347,0.07426204168600055,0.8524801266050066,1581.0,1795.0,87091.0
0.07540045623808826,0.08332199181518177,0.8412775519467297,1349.0,1707.0,85775.0
0.07946017215468396,0.08418297468254404,0.8363568531627721,1283.0,1831.0,113334.0
0.06562382970497724,0.07352864047598555,0.8608475298190379,606.0,2151.0,69658.0
0.0994570143278893,0.09947929475857217,0.8010636909135388,313.0,419.0,21971.0
0.09100417729094107,0.10965208934082439,0.7993437333682343,778.0,385.0,26446.0
0.09178246824801438,0.09799651919320626,0.8102210125587788,1378.0,784.0,30622.0
0.08140437879142937,0.10201255667092599,0.8165830645376448,628.0,297.0,29537.0
0.07681471980420573,0.0826182985336187,0.8405669816621764,1945.0,1419.0,73255.0
0.06489237332187307,0.09008676469655835,0.8450208619815714,6995.0,6690.0,216440.0
0.07378580428956046,0.07942737452866365,0.8467868211817755,5686.0,4964.0,221184.0
0.06962633446903582,0.06849151687238937,0.861882148658575,17.0,93.0,5334.0
0.05634987999060695,0.07819613441448554,0.8654539855949075,7004.0,7903.0,231022.0
0.07963056806436812,0.06791057345365821,0.8524588584819738,899.0,3319.0,106774.0
0.07669984364230281,0.07527566800341874,0.848024488354281,3216.0,5572.0,192996.0
0.06721209698689387,0.08613209654270235,0.8466558064704024,5414.0,5029.0,179957.0
0.08685826678856573,0.08381956515643976,0.8293221680549963,874.0,2650.0,86851.0
0.083420347823789,0.09216860387494058,0.8244110483012702,3591.0,5970.0,188983.0
0.07138850708753043,0.07418640905409823,0.8544250838583728,742.0,4158.0,92633.0
0.074032928056949,0.08092822484701653,0.8450388470960369,4182.0,6638.0,278781.0
0.07279447169525696,0.10180516474255069,0.8254003635621929,659.0,1103.0,27080.0
0.08115931892925489,0.08222097078331375,0.8366197102874297,1269.0,3358.0,111845.0
0.07389676555220677,0.0727877953444202,0.8533154391033726,635.0,1194.0,55885.0
0.07076927540298254,0.07887803447519037,0.8503526901218267,1663.0,2970.0,93193.0
0.0744644286262562,0.08402743053545941,0.8415081408382832,2422.0,1535.0,115424.0
0.08082994314113902,0.07777689657077362,0.8413931602880883,626.0,653.0,32883.0
0.09358645300918673,0.0883833321208515,0.8180302148699601,3439.0,5376.0,167889.0
0.08539628974707547,0.09050384881034938,0.8240998614425749,325.0,450.0,60765.0
0.0810102222867474,0.09825993141507403,0.8207298462981792,1537.0,1654.0,56650.0
0.07338369635331696,0.07385711975771433,0.8527591838889672,4380.0,4009.0,208578.0
0.08363720888422456,0.10872391900278451,0.8076388721129928,5832.0,5072.0,236138.0
0.06775413051864468,0.07389130055280335,0.8583545689285532,3569.0,4051.0,183730.0
